City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nha trang,12.25,109.1833,23.0,91,93,3.03,VN,1678130002
84,pisco,-13.7,-76.2167,29.03,54,0,8.23,PE,1678130003
85,atar,20.5169,-13.0499,30.57,9,100,4.83,MR,1678130005
86,meadow lake,34.8014,-106.5436,17.2,13,98,3.07,US,1678130005
87,carnarvon,-24.8667,113.6333,24.92,70,0,9.56,AU,1678129842
88,kamenka,51.3223,42.7678,-7.17,93,28,2.98,RU,1678130006
89,geraldton,-28.7667,114.6,17.23,77,0,3.09,AU,1678130007
90,taywarah,33.35,64.4167,4.81,52,9,1.16,AF,1678130007
91,airai,-8.9266,125.4092,14.67,90,82,0.63,TL,1678130008
92,avarua,-21.2078,-159.775,29.03,84,75,7.72,CK,1678130008
93,busselton,-33.65,115.3333,13.1,78,0,6.0,AU,1678130009
94,qaanaaq,77.484,-69.3632,-8.46,92,89,1.32,GL,1678130009
95,tasiilaq,65.6145,-37.6368,-4.91,79,100,3.92,GL,1678130010
96,kruisfontein,-34.0033,24.7314,17.71,88,86,3.42,ZA,1678130011
97,hammerfest,70.6634,23.6821,-8.75,67,0,1.54,NO,1678130012
98,groningen,53.25,6.75,3.34,88,75,7.2,NL,1678130013
99,khatanga,71.9667,102.5,-28.21,100,100,1.96,RU,1678130013
100,naryan-mar,67.6713,53.087,-27.82,95,82,1.71,RU,1678130014
101,voyvozh,62.892,54.9635,-24.45,100,100,1.11,RU,1678130014
102,hobyo,5.3505,48.5268,25.99,76,8,7.44,SO,1678130015
103,alofi,-19.0595,-169.9187,27.6,80,78,9.61,NU,1678130015
104,san carlos,9.6612,-68.5827,34.36,34,100,0.98,VE,1678130016
105,port hueneme,34.1478,-119.1951,16.88,66,20,4.12,US,1678130016
106,bethel,41.3712,-73.414,10.01,34,100,2.24,US,1678130017
107,bredasdorp,-34.5322,20.0403,17.98,73,59,4.56,ZA,1678130017
108,saskylakh,71.9167,114.0833,-24.89,98,100,1.95,RU,1678130018
109,san quintin,30.4833,-115.95,15.32,59,100,7.13,MX,1678130018
110,mahebourg,-20.4081,57.7,24.58,85,100,1.86,MU,1678130019
111,pevek,69.7008,170.3133,-36.8,98,32,2.13,RU,1678130019
112,barrow,71.2906,-156.7887,-10.99,85,40,7.72,US,1678130020
113,atuona,-9.8,-139.0333,26.7,78,17,5.16,PF,1678130020
114,nenjiang,49.1833,125.2167,-11.78,95,100,1.32,CN,1678130021
115,hofn,64.2539,-15.2082,-5.41,59,23,8.87,IS,1678130021
116,lebrija,36.9208,-6.0753,15.91,94,75,4.12,ES,1678130021
117,linxia,35.6003,103.2064,6.01,42,100,0.93,CN,1678130022
118,biloela,-24.4167,150.5,18.72,91,5,1.68,AU,1678130022
119,kinwat,19.6333,78.2,26.49,33,99,4.49,IN,1678130023
120,port alfred,-33.5906,26.891,19.54,91,20,2.24,ZA,1678130023
121,talnakh,69.4865,88.3972,-19.89,96,100,3.27,RU,1678130024
122,taldan,53.6667,124.8,-17.83,99,100,1.38,RU,1678130024
123,vila velha,-20.3297,-40.2925,29.97,74,20,8.75,BR,1678130025
124,sisimiut,66.9395,-53.6735,-0.81,76,77,1.87,GL,1678130025
125,gorontalo,0.5412,123.0595,23.93,94,100,1.75,ID,1678130025
126,ouro preto do oeste,-10.7481,-62.2158,30.71,68,99,1.03,BR,1678130026
127,vila franca do campo,37.7167,-25.4333,16.23,92,47,8.01,PT,1678130026
128,dharchula,29.85,80.5333,11.87,29,0,3.43,IN,1678130027
129,cidreira,-30.1811,-50.2056,23.49,93,100,6.2,BR,1678129882
130,mandalgovi,45.7625,106.2708,2.91,55,84,9.55,MN,1678130027
131,ulaangom,49.9811,92.0667,-12.08,78,85,2.13,MN,1678130027
132,butembo,0.15,29.2833,18.05,63,21,1.98,CD,1678130028
133,grindavik,63.8424,-22.4338,-2.74,54,75,6.69,IS,1678130028
134,sambava,-14.2667,50.1667,26.2,88,100,3.24,MG,1678130029
135,brae,60.3964,-1.353,0.95,60,95,9.73,GB,1678130029
136,fortuna,40.5982,-124.1573,7.42,95,75,5.66,US,1678130029
137,bellevue,47.6104,-122.2007,8.68,81,100,3.09,US,1678129740
138,zhoucheng,35.9122,116.3117,12.99,54,0,2.45,CN,1678130030
139,kidal,18.4411,1.4078,28.09,7,75,4.33,ML,1678130031
140,yar-sale,66.8333,70.8333,-20.0,99,100,3.43,RU,1678130031
141,bantry,51.6833,-9.45,7.1,82,100,5.06,IE,1678130031
142,nuuk,64.1835,-51.7216,1.34,79,12,2.55,GL,1678130032
143,kodiak,57.79,-152.4072,-2.27,80,0,2.57,US,1678130032
144,usinsk,65.9939,57.5281,-24.82,87,100,4.66,RU,1678130033
145,changping,40.2186,116.2197,8.8,20,0,1.67,CN,1678129756
146,rio grande,-32.035,-52.0986,25.06,81,100,7.28,BR,1678129923
147,longyearbyen,78.2186,15.6401,-14.09,43,40,7.72,SJ,1678130034
148,griffith,41.5284,-87.4237,12.25,86,100,3.6,US,1678130034
149,maragogi,-9.0122,-35.2225,28.43,64,100,5.47,BR,1678130035
150,cherskiy,68.75,161.3,-38.65,99,27,1.43,RU,1678130035
151,arraial do cabo,-22.9661,-42.0278,27.92,69,40,6.69,BR,1678130035
152,ancud,-41.8697,-73.8203,11.93,94,100,2.37,CL,1678130036
153,charleston,32.7766,-79.9309,26.85,64,0,3.6,US,1678129534
154,uvarovka,55.5278,35.6061,-9.12,94,22,2.68,RU,1678130036
155,fukue,32.6881,128.8419,13.06,57,5,3.28,JP,1678130037
156,san cristobal,7.7669,-72.225,27.1,51,85,2.06,VE,1678129983
157,namibe,-15.1961,12.1522,22.09,75,55,2.04,AO,1678130037
158,hovd,48.0056,91.6419,-0.61,44,95,3.59,MN,1678130037
159,minsk mazowiecki,52.1794,21.5725,1.88,98,100,3.87,PL,1678130038
160,narsaq,60.9167,-46.05,8.12,86,25,0.69,GL,1678130038
161,gravelbourg,49.8834,-106.5512,-12.53,85,100,5.46,CA,1678130039
162,norman wells,65.282,-126.8329,-18.01,82,100,1.0,CA,1678130039
163,adrar,20.5022,-10.0711,27.47,9,100,3.91,MR,1678130039
164,shingu,33.7333,135.9833,6.98,57,0,2.92,JP,1678130040
165,cabo san lucas,22.8909,-109.9124,27.17,44,0,5.14,MX,1678130040
166,faanui,-16.4833,-151.75,25.03,85,100,6.14,PF,1678130040
167,chatrapur,19.35,84.9833,23.21,76,0,2.9,IN,1678130041
168,vardo,70.3705,31.1107,-10.01,62,40,7.72,NO,1678130041
169,stephenville,32.2207,-98.2023,26.8,56,0,5.14,US,1678130042
170,kaliua,-5.0606,31.7936,21.25,79,98,1.29,TZ,1678130042
171,tazovskiy,67.4667,78.7,-27.02,100,100,2.45,RU,1678130043
172,ostrovnoy,68.0531,39.5131,-10.91,92,100,4.46,RU,1678130043
173,krompachy,48.9145,20.8751,2.29,98,100,1.18,SK,1678130044
174,vytegra,61.0064,36.4481,-5.26,96,100,2.59,RU,1678130044
175,bathsheba,13.2167,-59.5167,29.34,65,20,6.69,BB,1678130045
176,ramnagar,29.4,79.1167,16.92,33,0,2.1,IN,1678130046
177,palmer,42.1584,-72.3287,8.79,21,75,8.75,US,1678130046
178,sorland,67.667,12.6934,-3.08,40,100,7.16,NO,1678130046
179,oyama,36.3,139.8,10.33,70,6,1.12,JP,1678130047
180,maningrida,-12.0667,134.2667,24.87,88,100,5.54,AU,1678130047
181,puerto ayora,-0.7393,-90.3518,29.98,83,84,4.02,EC,1678130048
182,ahipara,-35.1667,173.1667,15.57,88,5,1.23,NZ,1678130049
183,iowa city,41.6611,-91.5302,9.36,80,100,7.2,US,1678130049
184,corner brook,48.9667,-57.9484,-0.48,86,100,3.3,CA,1678130026
185,ekibastuz,51.6667,75.3667,-2.43,82,100,7.7,KZ,1678130050
186,ilulissat,69.2167,-51.1,-0.99,69,0,0.0,GL,1678130051
187,saint-philippe,-21.3585,55.7679,26.77,88,100,4.03,RE,1678130051
188,buguda,19.8167,84.8,21.96,73,0,0.42,IN,1678130052
189,arroio grande,-32.2375,-53.0869,25.92,66,95,5.66,BR,1678130052
190,tecoanapa,16.5167,-98.75,28.45,58,0,4.73,MX,1678130053
191,auki,-8.7676,160.7034,26.26,86,100,4.1,SB,1678130053
192,vaitape,-16.5167,-151.75,24.97,86,100,6.06,PF,1678129903
193,katsuura,35.1333,140.3,9.77,78,0,1.58,JP,1678130054
194,baruun-urt,46.6806,113.2792,2.07,39,100,5.73,MN,1678130056
195,pangnirtung,66.1451,-65.7125,1.46,83,29,1.61,CA,1678130056
196,vegreville,53.5001,-112.0518,-14.74,86,100,5.34,CA,1678130057
197,guozhen,34.3659,107.359,13.88,34,38,1.05,CN,1678130058
198,saint george,37.1041,-113.5841,11.08,42,75,3.09,US,1678129786
199,wanning,18.8003,110.3967,20.41,72,93,2.11,CN,1678130059
200,tofield,53.3668,-112.6686,-14.29,91,100,5.29,CA,1678130060
201,bengkulu,-3.8004,102.2655,23.3,92,90,1.71,ID,1678130060
202,ixtapa,20.7,-105.2,25.57,53,0,5.14,MX,1678130061
203,coruripe,-10.1256,-36.1756,28.8,62,100,6.7,BR,1678130049
204,okhotsk,59.3833,143.3,-24.69,90,29,1.95,RU,1678130063
205,tevaitoa,-16.7833,-151.5,25.16,85,100,6.66,PF,1678130064
206,kaeo,-35.1,173.7833,15.74,96,70,1.62,NZ,1678130064
207,beira,-19.8436,34.8389,27.05,94,20,2.57,MZ,1678130067
208,sancti spiritus,21.9297,-79.4425,33.53,29,2,4.9,CU,1678130073
209,khandyga,62.6667,135.6,-19.44,100,100,0.33,RU,1678130074
210,hailar,49.2,119.7,-9.75,83,100,4.08,CN,1678130074
211,camacha,33.0833,-16.3333,18.68,77,20,2.06,PT,1678130075
212,berlevag,70.8578,29.0864,-10.03,52,75,4.12,NO,1678130075
213,kapoeta,4.7717,33.5903,32.04,24,7,6.06,SS,1678130076
214,kattivakkam,13.2167,80.3167,26.05,68,5,2.22,IN,1678130076
215,ketchikan,55.3422,-131.6461,-3.99,54,0,3.07,US,1678130076
216,flin flon,54.7682,-101.865,-16.05,80,93,2.62,CA,1678130077
217,tacuarembo,-31.7333,-55.9833,34.24,14,0,4.29,UY,1678130077
218,do gonbadan,30.3586,50.7981,16.05,48,0,0.0,IR,1678130078
219,eha amufu,6.6592,7.7596,27.24,71,100,3.3,NG,1678130078
220,jumla,29.2747,82.1838,4.5,60,0,2.07,NP,1678130079
221,bosobolo,4.1833,19.9,29.12,31,8,1.35,CD,1678129887
222,zhuhai,22.2769,113.5678,19.36,72,0,3.09,CN,1678130079
223,gari,59.4307,62.3497,-18.65,100,82,1.44,RU,1678130080
224,energetik,51.7445,58.7934,-2.41,99,100,1.18,RU,1678130080
225,red bank,40.3471,-74.0643,12.9,41,43,5.8,US,1678130082
226,port blair,11.6667,92.75,25.82,76,0,3.64,IN,1678130082
227,upernavik,72.7868,-56.1549,-7.61,85,27,2.45,GL,1678130082
228,luderitz,-26.6481,15.1594,18.35,74,0,11.83,NA,1678130083
229,chicama,-7.8447,-79.1469,29.3,59,100,4.06,PE,1678130083
230,ampanihy,-24.7,44.75,23.31,87,100,7.0,MG,1678130084
231,bonavista,48.6499,-53.1147,-1.51,87,100,3.45,CA,1678130084
232,honningsvag,70.9821,25.9704,-8.14,73,0,9.77,NO,1678130084
233,maniitsoq,65.4167,-52.9,0.34,70,18,1.22,GL,1678130085
234,rincon,32.296,-81.2354,25.98,63,75,5.66,US,1678130085
235,inhambane,-23.865,35.3833,24.99,88,20,3.44,MZ,1678130086
236,kakamega,0.2842,34.7523,19.72,43,100,0.58,KE,1678130086
237,severnyy,50.677,36.5532,-2.98,86,0,3.13,RU,1678130087
